location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
2011.0,3422,1372,3422.0,3422.0,3422.0,3422.0
2012.0,3154,1159,3154.0,3154.0,3154.0,3154.0
2013.0,3410,1295,3410.0,3410.0,3410.0,3410.0
2014.0,3643,1334,3643.0,3643.0,3643.0,3643.0
2015.0,3611,1337,3611.0,3611.0,3611.0,3611.0
2016.0,3892,1452,3892.0,3892.0,3892.0,3892.0
2017.0,4530,1766,4530.0,4530.0,4530.0,4530.0
2018.0,4955,1825,4955.0,4955.0,4955.0,4955.0
2019.0,5265,2072,5265.0,5265.0,5265.0,5265.0
2020.0,4612,1722,4612.0,4612.0,4612.0,4612.0
2021.0,1205,510,1205.0,1205.0,1205.0,1205.0
2022.0,2,1,2.0,2.0,2.0,2.0
2088.0,1,0,1.0,1.0,1.0,1.0
2091.0,1,0,1.0,1.0,1.0,1.0
2107.0,1,0,1.0,1.0,1.0,1.0
2108.0,1,1,1.0,1.0,1.0,1.0
2121.0,1,0,1.0,1.0,1.0,1.0
2201.0,1,1,1.0,1.0,1.0,1.0
2204.0,1,0,1.0,1.0,1.0,1.0
2819.0,1,0,1.0,1.0,1.0,1.0
3020.0,1,0,1.0,1.0,1.0,1.0
4218.0,1,1,1.0,1.0,1.0,1.0
5985.0,1,1,1.0,1.0,1.0,1.0
7202.0,1,1,1.0,1.0,1.0,1.0
7996.0,1,1,1.0,1.0,1.0,1.0
8101.0,1,0,1.0,1.0,1.0,1.0
9999.0,2,0,2.0,2.0,2.0,2.0
